# step Etot Epot T p 
269 -4874.5919 -4874.5919 0.0 1231.3804 
270 -4874.5922 -4874.5922 0.0 1231.3369 
271 -4874.5925 -4874.5925 0.0 1231.3147 
272 -4874.5925 -4874.5925 0.0 1231.3037 
273 -4874.117 -4874.117 0.0 1246.2582 
274 -4874.4526 -4874.4526 0.0 1237.8742 
275 -4874.5448 -4874.5448 0.0 1234.3801 
276 -4874.5738 -4874.5738 0.0 1232.7918 
277 -4874.5844 -4874.5844 0.0 1232.0328 
278 -4874.5888 -4874.5888 0.0 1231.6626 
279 -4874.591 -4874.591 0.0 1231.4763 
280 -4874.5918 -4874.5918 0.0 1231.3897 
281 -4874.5921 -4874.5921 0.0 1231.3469 
282 -4874.5924 -4874.5924 0.0 1231.3251 
283 -4874.5925 -4874.5925 0.0 1231.3143 
284 -4874.1171 -4874.1171 0.0 1246.2659 
285 -4874.4462 -4874.4462 0.0 1238.0846 
286 -4874.5417 -4874.5417 0.0 1234.5342 
287 -4874.5724 -4874.5724 0.0 1232.8889 
288 -4874.5837 -4874.5837 0.0 1232.0932 
289 -4874.5884 -4874.5884 0.0 1231.7007 
290 -4874.5907 -4874.5907 0.0 1231.5019 
291 -4874.5916 -4874.5916 0.0 1231.4084 
292 -4874.592 -4874.592 0.0 1231.3619 
293 -4874.5922 -4874.5922 0.0 1231.338 
294 -4874.5923 -4874.5923 0.0 1231.3262 
295 -4874.1164 -4874.1164 0.0 1246.2816 
296 -4874.4471 -4874.4471 0.0 1238.0573 
297 -4874.542 -4874.542 0.0 1234.518 
298 -4874.5725 -4874.5725 0.0 1232.883 
299 -4874.5837 -4874.5837 0.0 1232.0949 
300 -4874.5884 -4874.5884 0.0 1231.7069 
301 -4874.5906 -4874.5906 0.0 1231.5118 
302 -4874.5915 -4874.5915 0.0 1231.4186 
303 -4874.5919 -4874.5919 0.0 1231.3716 
304 -4874.5921 -4874.5921 0.0 1231.3494 
305 -4874.5922 -4874.5922 0.0 1231.3378 
306 -4874.1157 -4874.1157 0.0 1246.297 
307 -4874.448 -4874.448 0.0 1238.03 
308 -4874.5425 -4874.5425 0.0 1234.4994 
309 -4874.5726 -4874.5726 0.0 1232.877 
310 -4874.5837 -4874.5837 0.0 1232.0965 
311 -4874.5883 -4874.5883 0.0 1231.713 
312 -4874.5905 -4874.5905 0.0 1231.5204 
313 -4874.5914 -4874.5914 0.0 1231.4286 
314 -4874.5919 -4874.5919 0.0 1231.3823 
315 -4874.592 -4874.592 0.0 1231.3606 
316 -4874.5921 -4874.5921 0.0 1231.3491 
317 -4874.1151 -4874.1151 0.0 1246.312 
318 -4874.4489 -4874.4489 0.0 1238.0026 
319 -4874.5429 -4874.5429 0.0 1234.4821 
320 -4874.5727 -4874.5727 0.0 1232.8711 
321 -4874.5836 -4874.5836 0.0 1232.098 
322 -4874.5882 -4874.5882 0.0 1231.7189 
323 -4874.5904 -4874.5904 0.0 1231.5288 
324 -4874.5913 -4874.5913 0.0 1231.4383 
325 -4874.5918 -4874.5918 0.0 1231.3928 
326 -4874.592 -4874.592 0.0 1231.3703 
327 -4874.592 -4874.592 0.0 1231.3602 
328 -4874.1144 -4874.1144 0.0 1246.3267 
329 -4874.4498 -4874.4498 0.0 1237.9752 
330 -4874.5432 -4874.5432 0.0 1234.4648 
331 -4874.5728 -4874.5728 0.0 1232.8651 
332 -4874.5836 -4874.5836 0.0 1232.0994 
333 -4874.5882 -4874.5882 0.0 1231.7246 
334 -4874.5904 -4874.5904 0.0 1231.5369 
335 -4874.5913 -4874.5913 0.0 1231.4455 
336 -4874.5916 -4874.5916 0.0 1231.4032 
337 -4874.5919 -4874.5919 0.0 1231.381 
338 -4874.592 -4874.592 0.0 1231.37 
339 -4874.1138 -4874.1138 0.0 1246.3411 
340 -4874.4507 -4874.4507 0.0 1237.9478 
341 -4874.5435 -4874.5435 0.0 1234.4499 
342 -4874.5729 -4874.5729 0.0 1232.859 
343 -4874.5836 -4874.5836 0.0 1232.1007 
344 -4874.5881 -4874.5881 0.0 1231.7301 
345 -4874.5903 -4874.5903 0.0 1231.5449 
346 -4874.5912 -4874.5912 0.0 1231.4548 
347 -4874.5915 -4874.5915 0.0 1231.4132 
348 -4874.5918 -4874.5918 0.0 1231.3914 
349 -4874.5919 -4874.5919 0.0 1231.3806 
350 -4874.1139 -4874.1139 0.0 1246.3488 
351 -4874.4442 -4874.4442 0.0 1238.1595 
352 -4874.5404 -4874.5404 0.0 1234.6052 
353 -4874.5713 -4874.5713 0.0 1232.9605 
354 -4874.5829 -4874.5829 0.0 1232.1603 
355 -4874.5877 -4874.5877 0.0 1231.7686 
356 -4874.59 -4874.59 0.0 1231.5707 
357 -4874.5911 -4874.5911 0.0 1231.4736 
358 -4874.5914 -4874.5914 0.0 1231.4282 
359 -4874.5916 -4874.5916 0.0 1231.4043 
360 -4874.5917 -4874.5917 0.0 1231.3924 
361 -4874.1132 -4874.1132 0.0 1246.3645 
362 -4874.4451 -4874.4451 0.0 1238.1319 
363 -4874.5408 -4874.5408 0.0 1234.5875 
364 -4874.5714 -4874.5714 0.0 1232.9544 
365 -4874.5829 -4874.5829 0.0 1232.1619 
366 -4874.5876 -4874.5876 0.0 1231.7748 
367 -4874.5899 -4874.5899 0.0 1231.5795 
368 -4874.5909 -4874.5909 0.0 1231.4838 
369 -4874.5913 -4874.5913 0.0 1231.4391 
370 -4874.5915 -4874.5915 0.0 1231.4157 
371 -4874.5916 -4874.5916 0.0 1231.404 
372 -4874.1125 -4874.1125 0.0 1246.3798 
373 -4874.446 -4874.446 0.0 1238.1043 
374 -4874.5412 -4874.5412 0.0 1234.5699 
375 -4874.5716 -4874.5716 0.0 1232.9459 
376 -4874.5829 -4874.5829 0.0 1232.1634 
377 -4874.5876 -4874.5876 0.0 1231.7808 
378 -4874.5898 -4874.5898 0.0 1231.588 
379 -4874.5908 -4874.5908 0.0 1231.4937 
380 -4874.5913 -4874.5913 0.0 1231.4475 
381 -4874.5914 -4874.5914 0.0 1231.4269 
382 -4874.5915 -4874.5915 0.0 1231.4154 
383 -4874.1116 -4874.1116 0.0 1246.3996 
384 -4874.447 -4874.447 0.0 1238.0766 
385 -4874.5416 -4874.5416 0.0 1234.5523 
386 -4874.5717 -4874.5717 0.0 1232.9398 
387 -4874.5829 -4874.5829 0.0 1232.1648 
388 -4874.5875 -4874.5875 0.0 1231.7866 
389 -4874.5898 -4874.5898 0.0 1231.5963 
390 -4874.5907 -4874.5907 0.0 1231.5046 
391 -4874.5912 -4874.5912 0.0 1231.4579 
392 -4874.5913 -4874.5913 0.0 1231.4378 
393 -4874.5914 -4874.5914 0.0 1231.4265 
394 -4874.1111 -4874.1111 0.0 1246.4119 
395 -4874.4478 -4874.4478 0.0 1238.049 
396 -4874.5419 -4874.5419 0.0 1234.5348 
397 -4874.5718 -4874.5718 0.0 1232.9336 
398 -4874.5829 -4874.5829 0.0 1232.1661 
399 -4874.5875 -4874.5875 0.0 1231.7922 
400 -4874.5894 -4874.5894 0.0 1231.6092 
401 -4874.5906 -4874.5906 0.0 1231.514 
402 -4874.5911 -4874.5911 0.0 1231.4682 
403 -4874.5913 -4874.5913 0.0 1231.446 
404 -4874.5913 -4874.5913 0.0 1231.4374 
405 -4874.1105 -4874.1105 0.0 1246.4264 
406 -4874.4488 -4874.4488 0.0 1238.0213 
407 -4874.5423 -4874.5423 0.0 1234.5186 
408 -4874.5719 -4874.5719 0.0 1232.9275 
409 -4874.5829 -4874.5829 0.0 1232.1673 
410 -4874.5874 -4874.5874 0.0 1231.7978 
411 -4874.5894 -4874.5894 0.0 1231.6171 
412 -4874.5905 -4874.5905 0.0 1231.5233 
413 -4874.591 -4874.591 0.0 1231.4783 
414 -4874.5912 -4874.5912 0.0 1231.4565 
415 -4874.5913 -4874.5913 0.0 1231.4457 
